Data File Name,2100 expert_High Sensitivity DNA Assay_DE34903936_2014-02-25_12-30-24.xad
Data File Path,S:\Genomics\Next_Gen_Sequencing\Solexa_Illumina\HiSEQ\Shilatifard\DHU\MOLNG-737
Date Created,"Tuesday, February 25, 2014 6:30:24 PM"
Date Last Modified,"Tuesday, February 25, 2014 7:16:16 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,L8574 10nM
Number of Events,2121
 
Time,Value
32,-0.5148409
32.05,-0.4994077
32.1,-0.321889
32.15,-0.2705455
32.2,-0.1008479
32.25,8.281082E-04
32.3,-9.687266E-02
32.35,-0.2869617
32.4,-0.4620988
32.45,-0.4100024
32.5,-0.1848585
32.55,2.617759E-02
32.6,-9.989973E-02
32.65,-0.5283188
32.7,-0.5955555
32.75,-0.281501
32.8,1.119317E-03
32.85,-8.223107E-02
32.9,-0.4265007
32.95,-0.7658728
33,-0.9535694
33.05,-0.6564196
33.1,-0.6026876
33.15,-0.7920814
33.2,-0.9909726
33.25,-0.8666108
33.3,-0.3453039
33.35,2.047553E-03
33.4,6.063823E-02
33.45,-6.662289E-02
33.5,-0.4164206
33.55,-0.766499
33.6,-0.8843414
33.65,-0.964109
33.7,-0.9479322
33.75,-0.6870776
33.8,-0.3928999
33.85,-0.2958612
33.9,-0.268603
33.95,-0.5946458
34,-1.041569
34.05,-1.231389
34.1,-1.04027
34.15,-0.5651208
34.2,-0.3357997
34.25,-0.6145325
34.3,-0.9821991
34.35,-1.110768
34.4,-1.077305
34.45,-0.7161154
34.5,-0.6218362
34.55,-0.7178584
34.6,-0.4858979
34.65,-0.3161808
34.7,-0.4384045
34.75,-0.5511569
34.8,-0.5183912
34.85,-0.6748927
34.9,-0.9474673
34.95,-1.066948
35,-1.326019
35.05,-1.577979
35.1,-1.366027
35.15,-0.9043122
35.2,-0.5677139
35.25,-0.1727991
35.3,-2.927792E-02
35.35,-0.5245169
35.4,-1.124891
