Data File Name,2100 expert_High Sensitivity DNA Assay_DE34903936_2014-02-25_12-30-24.xad
Data File Path,S:\Genomics\Next_Gen_Sequencing\Solexa_Illumina\HiSEQ\Shilatifard\DHU\MOLNG-737
Date Created,"Tuesday, February 25, 2014 6:30:24 PM"
Date Last Modified,"Tuesday, February 25, 2014 7:16:16 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,L8580 10nM
Number of Events,2121
 
Time,Value
32,-0.1748525
32.05,-0.1469637
32.1,-0.1511173
32.15,-8.437115E-02
32.2,-4.552544E-02
32.25,-1.004256E-03
32.3,-0.1269902
32.35,-0.2778635
32.4,-0.3921921
32.45,-0.3643829
32.5,-0.1691969
32.55,-0.0157357
32.6,2.301601E-02
32.65,0.1320857
32.7,0.2792895
32.75,0.4486342
32.8,0.7542233
32.85,0.7938592
32.9,0.6077712
32.95,0.3734842
33,0.1784428
33.05,2.281287E-02
33.1,-7.168713E-02
33.15,-0.1316091
33.2,-0.2152427
33.25,-0.2351405
33.3,-0.143472
33.35,-6.470814E-02
33.4,1.251461E-03
33.45,1.903444E-02
33.5,-2.955819E-04
33.55,-4.792064E-02
33.6,-0.1849259
33.65,-0.3807784
33.7,-0.4117242
33.75,-0.3305087
33.8,-0.2819301
33.85,-9.796848E-02
33.9,-2.511847E-02
33.95,-0.1120028
34,-0.2366278
34.05,-0.3004632
34.1,-0.1828556
34.15,-2.012875E-02
34.2,0.1651919
34.25,0.1829987
34.3,0.1572926
34.35,-4.116271E-02
34.4,-0.1687345
34.45,-0.2856431
34.5,-0.3911372
34.55,-0.4537344
34.6,-0.3157285
34.65,-9.194387E-02
34.7,-8.227789E-02
34.75,-0.1076291
34.8,-0.2320898
34.85,-0.4145905
34.9,-0.4462911
34.95,-0.4553238
35,-0.4757465
35.05,-0.6018716
35.1,-0.6687022
35.15,-0.5820277
35.2,-0.500223
35.25,-0.3924004
35.3,-0.3664994
