Data File Name,2100 expert_High Sensitivity DNA Assay_DE34903936_2014-02-25_12-30-24.xad
Data File Path,S:\Genomics\Next_Gen_Sequencing\Solexa_Illumina\HiSEQ\Shilatifard\DHU\MOLNG-737
Date Created,"Tuesday, February 25, 2014 6:30:24 PM"
Date Last Modified,"Tuesday, February 25, 2014 7:16:16 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,L8576 10nM
Number of Events,2121
 
Time,Value
32,-0.3994346
32.05,-0.4645987
32.1,-0.699617
32.15,-0.814696
32.2,-0.5578413
32.25,-0.275407
32.3,-0.2700419
32.35,-0.4418634
32.4,-0.627388
32.45,-0.5479845
32.5,-0.6123962
32.55,-0.3584774
32.6,-0.2972589
32.65,-0.3851481
32.7,-0.4327534
32.75,-0.3037098
32.8,-0.1852471
32.85,-0.3431739
32.9,1.869461E-02
32.95,-2.390838E-02
33,-0.145137
33.05,-0.2486596
33.1,-0.2128017
33.15,-0.2394144
33.2,-0.220423
33.25,7.163306E-02
33.3,-9.056533E-02
33.35,-0.2264068
33.4,-0.5564912
33.45,-0.8517789
33.5,-1.054408
33.55,-1.086848
33.6,-0.8457221
33.65,-0.6410685
33.7,-0.4918579
33.75,-0.4558714
33.8,-0.4177952
33.85,-0.3768034
33.9,-0.4847852
33.95,-0.5125866
34,-0.4094378
34.05,-0.3121617
34.1,-0.2159532
34.15,-0.1230106
34.2,-0.1123306
34.25,-0.163826
34.3,-8.101942E-02
34.35,-0.1042678
34.4,-0.3687839
34.45,-0.537159
34.5,-0.4547865
34.55,-0.4191915
34.6,-0.4589149
34.65,-0.5096609
34.7,-0.6049283
34.75,-0.6868833
34.8,-0.6225224
34.85,-0.5756949
34.9,-0.6849713
34.95,-0.839039
35,-0.927172
35.05,-0.9133151
35.1,-0.7855019
35.15,-0.6907473
35.2,-0.6261662
35.25,-0.5293542
35.3,-0.5061138
35.35,-0.3691475
35.4,-0.1136633
