Data File Name,2100 expert_High Sensitivity DNA Assay_DE34903936_2014-02-25_12-30-24.xad
Data File Path,S:\Genomics\Next_Gen_Sequencing\Solexa_Illumina\HiSEQ\Shilatifard\DHU\MOLNG-737
Date Created,"Tuesday, February 25, 2014 6:30:24 PM"
Date Last Modified,"Tuesday, February 25, 2014 7:16:16 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,L8582 10nM
Number of Events,2121
 
Time,Value
32,-0.3600265
32.05,-0.2662555
32.1,-8.656001E-02
32.15,2.266799E-02
32.2,-0.1578763
32.25,-0.428026
32.3,-0.5215113
32.35,-0.4036859
32.4,-0.2782022
32.45,-0.1842195
32.5,-0.2250339
32.55,-0.337586
32.6,-0.3026378
32.65,-0.2509269
32.7,-0.3673496
32.75,-0.5633519
32.8,-0.6709731
32.85,-0.6299634
32.9,-0.4807792
32.95,-0.3349543
33,-0.4724911
33.05,-0.7456448
33.1,-0.9168616
33.15,-1.01774
33.2,-1.012018
33.25,-0.8105112
33.3,-0.5496486
33.35,-0.3023256
33.4,-2.561258E-02
33.45,-3.108809E-02
33.5,-0.2008233
33.55,-0.3969804
33.6,-0.4852592
33.65,-0.5083255
33.7,-0.5164548
33.75,-0.4388941
33.8,-0.5021036
33.85,-0.3937706
33.9,-0.302739
33.95,-0.4240004
34,-0.6270209
34.05,-0.798717
34.1,-0.8187167
34.15,-0.7875674
34.2,-0.6534964
34.25,-0.6341113
34.3,-0.7057779
34.35,-0.7920808
34.4,-0.8577299
34.45,-0.9346384
34.5,-0.9262563
34.55,-0.8547336
34.6,-0.8272663
34.65,-0.9114662
34.7,-0.9013452
34.75,-0.9415665
34.8,-0.9506199
34.85,-1.014189
34.9,-1.117547
34.95,-1.1054
35,-1.033305
35.05,-0.8973962
35.1,-0.8504121
35.15,-0.7747873
35.2,-0.6674829
35.25,-0.5736922
35.3,-0.5698999
35.35,-0.743757
35.4,-0.9242802
