Data File Name,2100 expert_High Sensitivity DNA Assay_DE34903936_2014-02-25_12-30-24.xad
Data File Path,S:\Genomics\Next_Gen_Sequencing\Solexa_Illumina\HiSEQ\Shilatifard\DHU\MOLNG-737
Date Created,"Tuesday, February 25, 2014 6:30:24 PM"
Date Last Modified,"Tuesday, February 25, 2014 7:16:16 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,L8583 10nM
Number of Events,2121
 
Time,Value
32,-8.671553E-02
32.05,-0.1438568
32.1,-0.1915092
32.15,-0.298922
32.2,-0.4599233
32.25,-0.5538512
32.3,-0.5912956
32.35,-0.6535858
32.4,-0.5648307
32.45,-0.4278889
32.5,-0.4563309
32.55,-0.5717531
32.6,-0.5811527
32.65,-0.717131
32.7,-0.9064568
32.75,-0.8981152
32.8,-0.7707561
32.85,-0.5937226
32.9,-0.3333846
32.95,-0.1666508
33,-0.3160228
33.05,-0.6074193
33.1,-0.8112102
33.15,-0.8079267
33.2,-0.7042294
33.25,-0.5484032
33.3,-0.3780149
33.35,-0.3428911
33.4,-0.468474
33.45,-0.6816297
33.5,-0.9000041
33.55,-0.952419
33.6,-0.9794287
33.65,-0.9473349
33.7,-0.8995201
33.75,-0.8382281
33.8,-0.7198017
33.85,-0.5848638
33.9,-0.4699971
33.95,-0.5930948
34,-0.7926652
34.05,-0.8680958
34.1,-0.8756651
34.15,-0.8879329
34.2,-0.9279804
34.25,-0.936531
34.3,-0.9236178
34.35,-0.8192216
34.4,-0.7479722
34.45,-0.8518429
34.5,-0.9817731
34.55,-0.9298609
34.6,-0.7681023
34.65,-0.5788379
34.7,-0.4923728
34.75,-0.6180013
34.8,-0.8733114
34.85,-1.08731
34.9,-1.290796
34.95,-1.399822
35,-1.420037
35.05,-1.395453
35.1,-1.350548
35.15,-1.335949
35.2,-1.35287
35.25,-1.212861
35.3,-1.027659
35.35,-0.9951218
35.4,-1.106888
35.45,-1.299317
