Data File Name,2100 expert_High Sensitivity DNA Assay_DE34903936_2014-02-25_12-30-24.xad
Data File Path,S:\Genomics\Next_Gen_Sequencing\Solexa_Illumina\HiSEQ\Shilatifard\DHU\MOLNG-737
Date Created,"Tuesday, February 25, 2014 6:30:24 PM"
Date Last Modified,"Tuesday, February 25, 2014 7:16:16 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,L8575 10nM
Number of Events,2121
 
Time,Value
32,-0.4911162
32.05,-0.2757164
32.1,-5.915811E-02
32.15,-0.2111125
32.2,-0.3390148
32.25,-0.2281711
32.3,-0.3401254
32.35,-0.4206955
32.4,-0.2296401
32.45,-2.796208E-03
32.5,-8.100097E-02
32.55,-0.2798707
32.6,-0.5557715
32.65,-0.7512254
32.7,-0.42567
32.75,9.754249E-02
32.8,0.3750027
32.85,0.1925324
32.9,-0.2933682
32.95,-0.4766476
33,-0.6713185
33.05,-0.7044461
33.1,-0.705766
33.15,-0.7037554
33.2,-0.7333827
33.25,-0.6347622
33.3,-0.2524119
33.35,-0.2148934
33.4,-0.3994767
33.45,-0.5645056
33.5,-0.6020389
33.55,-0.5497801
33.6,-0.2985005
33.65,-0.2421747
33.7,-0.5423234
33.75,-0.7517783
33.8,-0.7123914
33.85,-0.537159
33.9,-0.3764938
33.95,-0.2694012
34,-0.2320443
34.05,-0.3160367
34.1,-0.394762
34.15,-0.4791752
34.2,-0.4952767
34.25,-0.5530385
34.3,-0.6377366
34.35,-0.5700511
34.4,-0.702359
34.45,-0.6738369
34.5,-0.5765874
34.55,-0.4941092
34.6,-0.5563748
34.65,-0.6742033
34.7,-0.6879994
34.75,-0.8333685
34.8,-0.9911196
34.85,-1.17732
34.9,-1.114062
34.95,-0.9937749
35,-0.8240386
35.05,-0.5540993
35.1,-0.5305428
35.15,-0.7251592
35.2,-0.9378501
35.25,-1.056069
35.3,-1.120615
35.35,-0.9649752
35.4,-0.710789
