Data File Name,2100 expert_High Sensitivity DNA Assay_DE34903936_2014-02-25_12-30-24.xad
Data File Path,S:\Genomics\Next_Gen_Sequencing\Solexa_Illumina\HiSEQ\Shilatifard\DHU\MOLNG-737
Date Created,"Tuesday, February 25, 2014 6:30:24 PM"
Date Last Modified,"Tuesday, February 25, 2014 7:16:16 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,L8477 10nM
Number of Events,2121
 
Time,Value
32,3.758396E-02
32.05,-0.1186674
32.1,-0.1308513
32.15,-0.1797395
32.2,-0.1680933
32.25,-1.656336E-02
32.3,0.1783196
32.35,0.2543821
32.4,9.753133E-02
32.45,0.140299
32.5,4.853636E-02
32.55,-6.604744E-02
32.6,-0.1554961
32.65,-0.2793678
32.7,-0.2365196
32.75,-0.2221553
32.8,-1.341818E-02
32.85,-8.188527E-02
32.9,-0.1477666
32.95,-7.598019E-02
33,7.427424E-02
33.05,7.365876E-02
33.1,-0.1850565
33.15,-0.1773348
33.2,-9.863861E-02
33.25,3.663252E-02
33.3,0.3211828
33.35,0.5536666
33.4,0.3792225
33.45,0.255373
33.5,0.1480036
33.55,-0.139677
33.6,-0.1616136
33.65,6.296198E-02
33.7,0.1780967
33.75,5.715767E-02
33.8,0.1302934
33.85,0.1846758
33.9,0.1350878
33.95,-1.427858E-03
34,4.417429E-02
34.05,-5.146713E-02
34.1,-0.1439281
34.15,-1.352675E-03
34.2,0.116128
34.25,0.2890472
34.3,0.3206073
34.35,0.2723854
34.4,1.035078E-02
34.45,-8.033846E-02
34.5,-4.006512E-03
34.55,0.1823539
34.6,0.3177252
34.65,0.1697871
34.7,0.0483267
34.75,-0.1958256
34.8,-0.5425568
34.85,-0.359538
34.9,1.232972E-02
34.95,0.1600939
35,0.2477958
35.05,0.1581133
35.1,-6.753752E-02
35.15,-0.2418555
35.2,-9.074228E-02
35.25,-9.714115E-02
35.3,-6.613676E-04
