Data File Name,2100 expert_High Sensitivity DNA Assay_DE34903936_2014-02-25_12-30-24.xad
Data File Path,S:\Genomics\Next_Gen_Sequencing\Solexa_Illumina\HiSEQ\Shilatifard\DHU\MOLNG-737
Date Created,"Tuesday, February 25, 2014 6:30:24 PM"
Date Last Modified,"Tuesday, February 25, 2014 7:16:16 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,L8578 10nM
Number of Events,2121
 
Time,Value
32,-0.1099534
32.05,-6.100628E-02
32.1,-0.1018916
32.15,-0.3227974
32.2,-0.5888816
32.25,-0.8566668
32.3,-0.637239
32.35,-0.3059541
32.4,-3.683996E-02
32.45,9.156156E-02
32.5,3.950734E-03
32.55,-0.2873801
32.6,-0.5461641
32.65,-0.4500674
32.7,-0.2531895
32.75,-6.455623E-02
32.8,0.0232265
32.85,2.513743E-02
32.9,-2.635937E-02
32.95,-0.0252487
33,0.1959575
33.05,0.4210448
33.1,0.4083731
33.15,0.2332804
33.2,-5.203527E-02
33.25,-0.3927865
33.3,-0.5229991
33.35,-0.3005838
33.4,-5.035629E-02
33.45,4.525614E-03
33.5,-0.1719401
33.55,-0.4480142
33.6,-0.6605695
33.65,-0.490438
33.7,-0.0135247
33.75,0.2717386
33.8,0.2854785
33.85,-8.135017E-02
33.9,-0.6987181
33.95,-1.131325
34,-1.109069
34.05,-0.8242425
34.1,-0.6911457
34.15,-0.2737937
34.2,-1.693873E-02
34.25,-5.421462E-02
34.3,-0.2202892
34.35,-0.4512042
34.4,-0.6386052
34.45,-0.7074097
34.5,-0.4528339
34.55,-0.326831
34.6,-0.3051046
34.65,-0.4091585
34.7,-0.4930644
34.75,-0.6656578
34.8,-0.7459335
34.85,-0.4434555
34.9,-0.1534865
34.95,-0.1099188
35,-0.2485685
35.05,-0.5075518
35.1,-0.7855926
35.15,-0.7800034
35.2,-0.4733088
35.25,-0.3646858
35.3,-0.3003971
35.35,-0.2503422
