Data File Name,2100 expert_High Sensitivity DNA Assay_DE34903936_2014-02-25_12-30-24.xad
Data File Path,S:\Genomics\Next_Gen_Sequencing\Solexa_Illumina\HiSEQ\Shilatifard\DHU\MOLNG-737
Date Created,"Tuesday, February 25, 2014 6:30:24 PM"
Date Last Modified,"Tuesday, February 25, 2014 7:16:16 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,L8579 10nM
Number of Events,2121
 
Time,Value
32,8.760839E-02
32.05,0.1072196
32.1,0.2291274
32.15,0.2654212
32.2,0.129291
32.25,-0.1545893
32.3,-0.4244844
32.35,-0.5224727
32.4,-0.3273219
32.45,-0.1427448
32.5,-0.1783636
32.55,-0.359752
32.6,-0.3926199
32.65,-0.2940417
32.7,-0.1572531
32.75,-7.691271E-02
32.8,-2.536394E-02
32.85,3.403688E-02
32.9,0.1334351
32.95,0.2631523
33,0.1538016
33.05,-9.924369E-02
33.1,-0.4417051
33.15,-0.5844581
33.2,-0.4854572
33.25,-0.3309149
33.3,-0.2228722
33.35,-0.2487655
33.4,-0.2570844
33.45,-9.943124E-02
33.5,0.2828725
33.55,0.483593
33.6,0.4255355
33.65,0.3398415
33.7,0.1712126
33.75,-2.400071E-02
33.8,-3.347798E-02
33.85,3.163436E-02
33.9,-1.724081E-02
33.95,-0.2223255
34,-0.1918212
34.05,-0.2907012
34.1,-0.4769205
34.15,-0.5357471
34.2,-0.4807916
34.25,-0.581917
34.3,-0.6451441
34.35,-0.7216752
34.4,-0.7924101
34.45,-0.8870304
34.5,-0.8862335
34.55,-0.9795449
34.6,-1.224854
34.65,-1.326419
34.7,-1.286548
34.75,-1.002743
34.8,-0.6903363
34.85,-0.4882894
34.9,-0.3727343
34.95,-0.119664
35,-3.742807E-02
35.05,-0.1461385
35.1,-0.3348365
35.15,-0.5294812
35.2,-0.7388409
35.25,-0.8216192
35.3,-0.7274527
35.35,-0.7009953
35.4,-0.5550434
