Data File Name,2100 expert_High Sensitivity DNA Assay_DE34903936_2014-02-25_12-30-24.xad
Data File Path,S:\Genomics\Next_Gen_Sequencing\Solexa_Illumina\HiSEQ\Shilatifard\DHU\MOLNG-737
Date Created,"Tuesday, February 25, 2014 6:30:24 PM"
Date Last Modified,"Tuesday, February 25, 2014 7:16:16 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,L8581 10nM
Number of Events,2121
 
Time,Value
32,-4.620892E-02
32.05,0.1157174
32.1,0.2547694
32.15,0.3253175
32.2,0.3614385
32.25,0.3841251
32.3,0.3479724
32.35,0.3461228
32.4,0.4232469
32.45,0.2714316
32.5,-0.1007473
32.55,-0.3944528
32.6,-0.4286534
32.65,-0.340915
32.7,-0.1239079
32.75,2.163694E-02
32.8,-6.709514E-02
32.85,-0.2951529
32.9,-0.3343303
32.95,-0.2426049
33,-0.2279331
33.05,-0.4235443
33.1,-0.6087075
33.15,-0.6637117
33.2,-0.5678851
33.25,-0.3643033
33.3,-0.1297859
33.35,-2.65051E-03
33.4,-7.550587E-02
33.45,-0.2135223
33.5,-0.3073113
33.55,-0.3107542
33.6,-0.2732415
33.65,-0.3979978
33.7,-0.5677751
33.75,-0.6371706
33.8,-0.6652128
33.85,-0.5504905
33.9,-0.4106185
33.95,-0.5331984
34,-0.6575589
34.05,-0.4807327
34.1,-0.2086564
34.15,0.0589345
34.2,0.2584545
34.25,0.1086379
34.3,-0.3872103
34.35,-0.7656576
34.4,-0.75762
34.45,-0.7088541
34.5,-0.340045
34.55,-0.1421539
34.6,-0.196728
34.65,-0.3285227
34.7,-0.3951834
34.75,-0.477333
34.8,-0.6757253
34.85,-0.7570984
34.9,-0.8977513
34.95,-0.7787353
35,-0.5402389
35.05,-0.2631889
35.1,-0.2293327
35.15,-0.3020021
35.2,-0.4467767
35.25,-0.6669945
35.3,-0.6309032
35.35,-0.4375052
35.4,-0.1808681
